basket_size,basket_id,stock_position,symbol,ticker,company_name,sector,basket_avg_pairwise_corr,basket_sector_count
2,1,1,LTF,LTF.NS,L&T Finance Ltd.,Financial Services,0.15708791047327703,2
2,1,2,DRREDDY,DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare,0.15708791047327703,2
2,2,1,LICHSGFIN,LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services,0.14987311736778178,2
2,2,2,HCLTECH,HCLTECH.NS,HCL Technologies Ltd.,Information Technology,0.14987311736778178,2
2,3,1,CANBK,CANBK.NS,Canara Bank,Financial Services,0.09655928215910964,2
2,3,2,NESTLEIND,NESTLEIND.NS,Nestle India Ltd.,Fast Moving Consumer Goods,0.09655928215910964,2
2,4,1,IDFCFIRSTB,IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services,0.15210630430349104,2
2,4,2,ALKEM,ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,0.15210630430349104,2
2,5,1,SBIN,SBIN.NS,State Bank of India,Financial Services,0.11195381238129302,2
2,5,2,MAXHEALTH,MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare,0.11195381238129302,2
2,6,1,ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,0.12932544402419183,2
2,6,2,HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,0.12932544402419183,2
2,7,1,PFC,PFC.NS,Power Finance Corporation Ltd.,Financial Services,0.1327659594944727,2
2,7,2,TCS,TCS.NS,Tata Consultancy Services Ltd.,Information Technology,0.1327659594944727,2
2,8,1,RECLTD,RECLTD.NS,REC Ltd.,Financial Services,0.1298561647717251,2
2,8,2,INFY,INFY.NS,Infosys Ltd.,Information Technology,0.1298561647717251,2
2,9,1,FEDERALBNK,FEDERALBNK.NS,Federal Bank Ltd.,Financial Services,0.14433671722477703,2
2,9,2,PATANJALI,PATANJALI.NS,Patanjali Foods Ltd.,Fast Moving Consumer Goods,0.14433671722477703,2
2,10,1,HDFCAMC,HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services,0.1846738105938478,2
2,10,2,CIPLA,CIPLA.NS,Cipla Ltd.,Healthcare,0.1846738105938478,2
2,11,1,M&MFIN,M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services,0.16049836704695244,2
2,11,2,TORNTPHARM,TORNTPHARM.NS,Torrent Pharmaceuticals Ltd.,Healthcare,0.16049836704695244,2
2,12,1,BANKBARODA,BANKBARODA.NS,Bank of Baroda,Financial Services,0.13699106865185182,2
2,12,2,WIPRO,WIPRO.NS,Wipro Ltd.,Information Technology,0.13699106865185182,2
2,13,1,AXISBANK,AXISBANK.NS,Axis Bank Ltd.,Financial Services,0.1409631036990802,2
2,13,2,MPHASIS,MPHASIS.NS,MphasiS Ltd.,Information Technology,0.1409631036990802,2
2,14,1,ICICIBANK,ICICIBANK.NS,ICICI Bank Ltd.,Financial Services,0.1113665626342873,2
2,14,2,POWERINDIA,POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods,0.1113665626342873,2
2,15,1,BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,0.13636710331128254,2
2,15,2,LUPIN,LUPIN.NS,Lupin Ltd.,Healthcare,0.13636710331128254,2
2,16,1,HUDCO,HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services,0.16363589924298944,2
2,16,2,APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,0.16363589924298944,2
2,17,1,UNIONBANK,UNIONBANK.NS,Union Bank of India,Financial Services,0.12921033159892314,2
2,17,2,LTM,LTM.NS,LTM Ltd.,Information Technology,0.12921033159892314,2
2,18,1,PNB,PNB.NS,Punjab National Bank,Financial Services,0.13545984910586942,2
2,18,2,COLPAL,COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,0.13545984910586942,2
2,19,1,BANKINDIA,BANKINDIA.NS,Bank of India,Financial Services,0.1319229928952911,2
2,19,2,PERSISTENT,PERSISTENT.NS,Persistent Systems Ltd.,Information Technology,0.1319229928952911,2
2,20,1,BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,0.16133285575885392,2
2,20,2,OIL,OIL.NS,Oil India Ltd.,Oil Gas & Consumable Fuels,0.16133285575885392,2
2,21,1,SHRIRAMFIN,SHRIRAMFIN.NS,Shriram Finance Ltd.,Financial Services,0.16648414900864852,2
2,21,2,DIVISLAB,DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare,0.16648414900864852,2
2,22,1,HDFCBANK,HDFCBANK.NS,HDFC Bank Ltd.,Financial Services,0.1310550017839031,2
2,22,2,SUZLON,SUZLON.NS,Suzlon Energy Ltd.,Capital Goods,0.1310550017839031,2
2,23,1,SBICARD,SBICARD.NS,SBI Cards and Payment Services Ltd.,Financial Services,0.1408386200855637,2
2,23,2,TATACOMM,TATACOMM.NS,Tata Communications Ltd.,Telecommunication,0.1408386200855637,2
2,24,1,CHOLAFIN,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services,0.11358783270569026,2
2,24,2,SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare,0.11358783270569026,2
2,25,1,INDUSINDBK,INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services,0.1480351476285598,2
2,25,2,FORTIS,FORTIS.NS,Fortis Healthcare Ltd.,Healthcare,0.1480351476285598,2
2,26,1,INDIANB,INDIANB.NS,Indian Bank,Financial Services,0.13444234422004459,2
2,26,2,VBL,VBL.NS,Varun Beverages Ltd.,Fast Moving Consumer Goods,0.13444234422004459,2
2,27,1,SIEMENS,SIEMENS.NS,Siemens Ltd.,Capital Goods,0.15900313222328843,2
2,27,2,NYKAA,NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services,0.15900313222328843,2
2,28,1,HDFCLIFE,HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financial Services,0.12921837583436704,2
2,28,2,TIINDIA,TIINDIA.NS,Tube Investments of India Ltd.,Automobile and Auto Components,0.12921837583436704,2
2,29,1,BHEL,BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods,0.1531620274661772,2
2,29,2,BRITANNIA,BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,0.1531620274661772,2
2,30,1,KOTAKBANK,KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financial Services,0.14078664369999713,2
2,30,2,ZYDUSLIFE,ZYDUSLIFE.NS,Zydus Lifesciences Ltd.,Healthcare,0.14078664369999713,2
2,31,1,ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods,0.1778028410722412,2
2,31,2,COFORGE,COFORGE.NS,Coforge Ltd.,Information Technology,0.1778028410722412,2
2,32,1,SBILIFE,SBILIFE.NS,SBI Life Insurance Company Ltd.,Financial Services,0.14586706349011813,2
2,32,2,IDEA,IDEA.NS,Vodafone Idea Ltd.,Telecommunication,0.14586706349011813,2
2,33,1,BEL,BEL.NS,Bharat Electronics Ltd.,Capital Goods,0.17405046232090418,2
2,33,2,GODREJCP,GODREJCP.NS,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,0.17405046232090418,2
2,34,1,IRFC,IRFC.NS,Indian Railway Finance Corporation Ltd.,Financial Services,0.12469640472696478,2
2,34,2,ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,0.12469640472696478,2
2,35,1,POLYCAB,POLYCAB.NS,Polycab India Ltd.,Capital Goods,0.1332770325497834,2
2,35,2,YESBANK,YESBANK.NS,Yes Bank Ltd.,Financial Services,0.1332770325497834,2
2,36,1,EXIDEIND,EXIDEIND.NS,Exide Industries Ltd.,Automobile and Auto Components,0.2106291551377785,2
2,36,2,TECHM,TECHM.NS,Tech Mahindra Ltd.,Information Technology,0.2106291551377785,2
2,37,1,MAZDOCK,MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,0.11752399715822268,2
2,37,2,MARICO,MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods,0.11752399715822268,2
2,38,1,MUTHOOTFIN,MUTHOOTFIN.NS,Muthoot Finance Ltd.,Financial Services,0.15544076014529,2
2,38,2,OFSS,OFSS.NS,Oracle Financial Services Software Ltd.,Information Technology,0.15544076014529,2
2,39,1,BHARATFORG,BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components,0.18447021699762597,2
